samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	0	-1.62734	-0.81367	0.81367	0	-1.62734	-0.81367	-5.69569	-5.69569	-7.32303	-4.88202	-4.06835	0
1	-3.25468	-7.32303	-3.25468	5.69569	0	-5.69569	-4.06835	-25.22377	-25.22377	-30.10579	-21.96909	-17.08707	0
2	-5.69569	-10.57771	-2.44101	8.95037	-2.44101	-6.50936	-10.57771	-52.07488	-51.26121	-59.39791	-43.12451	-32.5468	0
3	-5.69569	-4.88202	6.50936	8.1367	-9.76404	0	-17.90074	-76.48498	-72.41663	-81.367	-59.39791	-42.31084	0
4	-4.06835	6.50936	20.34175	0.81367	-17.08707	13.01872	-25.22377	-93.57205	-83.80801	-92.75838	-68.34828	-43.12451	0
5	0	19.52808	29.29212	-8.95037	-19.52808	23.59643	-31.73313	-103.33609	-87.06269	-96.82673	-70.78929	-42.31084	0
6	6.50936	29.29212	30.10579	-19.52808	-15.45973	30.10579	-37.42882	-108.21811	-87.06269	-97.6404	-69.97562	-43.12451	0
7	11.39138	34.17414	26.85111	-24.4101	-10.57771	31.73313	-43.12451	-110.65912	-87.87636	-96.82673	-68.34828	-44.75185	0
8	13.83239	31.73313	19.52808	-24.4101	-3.25468	26.85111	-53.70222	-113.10013	-89.5037	-96.82673	-65.90727	-43.93818	0
9	13.83239	23.59643	7.32303	-21.96909	5.69569	18.71441	-69.97562	-113.9138	-91.13104	-96.01306	-61.83892	-39.05616	0
10	13.83239	17.08707	0	-19.52808	11.39138	11.39138	-80.55333	-114.72747	-92.75838	-94.38572	-58.58424	-33.36047	0
11	15.45973	16.2734	-1.62734	-19.52808	13.01872	9.76404	-83.80801	-116.35481	-92.75838	-92.75838	-56.14323	-29.29212	0
12	21.96909	24.4101	0.81367	-26.03744	13.01872	14.64606	-82.99434	-117.98215	-91.13104	-89.5037	-52.07488	-25.22377	0
13	30.91946	39.05616	8.95037	-36.61515	11.39138	25.22377	-80.55333	-119.60949	-87.06269	-84.62168	-48.00653	-19.52808	0
14	36.61515	51.26121	20.34175	-43.93818	4.88202	36.61515	-78.92599	-122.0505	-84.62168	-81.367	-47.19286	-13.01872	0
15	34.98781	56.14323	29.29212	-46.37919	-1.62734	43.12451	-77.29865	-124.49151	-83.80801	-82.99434	-48.8202	-12.20505	0
16	33.36047	57.77057	30.91946	-47.19286	-2.44101	45.56552	-75.67131	-125.30518	-84.62168	-85.43535	-50.44754	-15.45973	0
17	38.24249	60.21158	26.85111	-50.44754	2.44101	44.75185	-74.04397	-125.30518	-87.06269	-88.69003	-50.44754	-17.08707	0
18	47.19286	60.21158	17.90074	-53.70222	12.20505	40.6835	-78.92599	-130.1872	-91.94471	-96.82673	-55.32956	-20.34175	0
19	50.44754	50.44754	4.88202	-50.44754	21.96909	30.10579	-91.13104	-143.20592	-100.08141	-113.10013	-66.72094	-27.66478	0
20	48.00653	34.98781	-7.32303	-40.6835	27.66478	17.08707	-102.52242	-154.5973	-109.84545	-126.11885	-76.48498	-34.17414	0
21	42.31084	19.52808	-17.08707	-30.91946	29.29212	4.06835	-106.59077	-159.47932	-118.79582	-131.81454	-78.92599	-35.80148	0
22	36.61515	9.76404	-23.59643	-23.59643	30.10579	-4.88202	-105.7771	-160.29299	-124.49151	-131.00087	-77.29865	-36.61515	0
23	34.17414	1.62734	-28.47845	-17.90074	30.91946	-12.20505	-102.52242	-160.29299	-126.11885	-128.55986	-76.48498	-40.6835	0
24	34.98781	-4.88202	-33.36047	-14.64606	30.91946	-18.71441	-97.6404	-157.03831	-123.67784	-126.11885	-77.29865	-49.63387	0
25	36.61515	-14.64606	-42.31084	-11.39138	34.98781	-28.47845	-91.13104	-152.15629	-118.79582	-123.67784	-78.11232	-56.14323	0
26	33.36047	-29.29212	-56.9569	-4.06835	41.49717	-42.31084	-84.62168	-147.27427	-113.9138	-124.49151	-79.73966	-57.77057	0
27	27.66478	-47.19286	-69.97562	7.32303	46.37919	-56.9569	-78.92599	-143.20592	-109.03178	-126.93252	-82.99434	-60.21158	0
28	23.59643	-61.83892	-81.367	17.90074	50.44754	-69.97562	-71.60296	-137.51023	-106.59077	-127.74619	-90.31737	-66.72094	0
29	20.34175	-71.60296	-87.87636	25.22377	52.88855	-77.29865	-61.83892	-131.00087	-105.7771	-126.93252	-104.14976	-76.48498	0
30	11.39138	-78.11232	-85.43535	33.36047	48.8202	-78.92599	-53.70222	-126.93252	-108.21811	-127.74619	-113.9138	-84.62168	0
31	1.62734	-82.18067	-76.48498	41.49717	38.24249	-76.48498	-49.63387	-126.11885	-112.28646	-131.00087	-116.35481	-86.24902	0
32	-3.25468	-84.62168	-67.53461	48.8202	26.85111	-74.04397	-48.00653	-126.93252	-116.35481	-135.06922	-116.35481	-84.62168	0
33	-4.88202	-82.18067	-61.02525	50.44754	20.34175	-70.78929	-48.00653	-128.55986	-118.79582	-136.69656	-114.72747	-79.73966	0
34	-0.81367	-74.85764	-58.58424	42.31084	21.15542	-66.72094	-48.00653	-129.37353	-117.98215	-137.51023	-112.28646	-71.60296	0
35	4.06835	-69.16195	-61.83892	32.5468	27.66478	-65.0936	-47.19286	-129.37353	-115.54114	-138.3239	-109.03178	-66.72094	0
36	5.69569	-70.78929	-69.16195	30.10579	34.17414	-69.16195	-46.37919	-129.37353	-113.10013	-141.57858	-108.21811	-67.53461	0
37	0.81367	-78.92599	-78.92599	34.98781	39.05616	-77.29865	-45.56552	-128.55986	-112.28646	-145.64693	-109.84545	-73.2303	0
38	-5.69569	-91.13104	-91.13104	42.31084	45.56552	-89.5037	-43.93818	-127.74619	-112.28646	-149.71528	-117.98215	-82.99434	0
39	-11.39138	-104.96343	-100.89508	52.07488	49.63387	-100.08141	-41.49717	-126.11885	-113.10013	-152.15629	-131.00087	-95.19939	0
40	-16.2734	-117.98215	-106.59077	61.83892	49.63387	-108.21811	-40.6835	-125.30518	-116.35481	-153.78363	-139.13757	-102.52242	0
41	-22.78276	-128.55986	-107.40444	71.60296	44.75185	-114.72747	-43.93818	-126.93252	-121.23683	-156.22464	-139.13757	-104.96343	0
42	-29.29212	-135.88289	-107.40444	80.55333	39.86983	-119.60949	-48.00653	-131.00087	-126.11885	-159.47932	-136.69656	-104.96343	0
43	-34.17414	-137.51023	-102.52242	84.62168	33.36047	-118.79582	-51.26121	-135.06922	-129.37353	-160.29299	-133.44188	-101.70875	0
44	-39.05616	-137.51023	-94.38572	86.24902	26.03744	-115.54114	-54.51589	-138.3239	-130.1872	-161.10666	-132.62821	-96.01306	0
45	-42.31084	-139.13757	-91.13104	87.87636	21.96909	-114.72747	-56.14323	-140.76491	-131.00087	-161.92033	-132.62821	-94.38572	0
46	-40.6835	-139.13757	-94.38572	86.24902	24.4101	-115.54114	-54.51589	-139.95124	-131.00087	-163.54767	-131.81454	-95.19939	0
47	-34.17414	-135.88289	-97.6404	82.18067	29.29212	-115.54114	-50.44754	-137.51023	-130.1872	-163.54767	-131.00087	-96.82673	0
48	-29.29212	-136.69656	-103.33609	82.18067	34.98781	-117.98215	-47.19286	-135.06922	-131.81454	-165.98868	-130.1872	-100.08141	0
49	-27.66478	-144.83326	-113.10013	86.24902	41.49717	-126.11885	-48.8202	-136.69656	-136.69656	-170.05703	-131.00087	-107.40444	0
50	-24.4101	-151.34262	-121.23683	87.87636	47.19286	-132.62821	-50.44754	-138.3239	-140.76491	-172.49804	-131.00087	-112.28646	0
51	-20.34175	-146.4606	-121.23683	82.99434	49.63387	-131.00087	-50.44754	-135.88289	-139.95124	-170.8707	-129.37353	-110.65912	0
52	-15.45973	-133.44188	-115.54114	74.04397	49.63387	-122.86417	-47.19286	-131.81454	-134.25555	-165.17501	-124.49151	-105.7771	0
53	-10.57771	-118.79582	-106.59077	63.46626	47.19286	-112.28646	-43.93818	-128.55986	-126.93252	-157.03831	-119.60949	-102.52242	0
54	-6.50936	-111.47279	-97.6404	58.58424	43.12451	-104.14976	-43.12451	-127.74619	-122.86417	-152.96996	-119.60949	-106.59077	0
55	-7.32303	-114.72747	-94.38572	61.02525	38.24249	-104.96343	-44.75185	-129.37353	-122.0505	-152.96996	-122.86417	-110.65912	0
56	-15.45973	-124.49151	-95.19939	70.78929	33.36047	-109.84545	-45.56552	-131.81454	-123.67784	-156.22464	-126.93252	-109.84545	0
57	-24.4101	-134.25555	-98.45407	79.73966	30.91946	-114.72747	-46.37919	-133.44188	-126.11885	-159.47932	-130.1872	-109.03178	0
58	-30.10579	-141.57858	-104.96343	86.24902	33.36047	-122.0505	-46.37919	-133.44188	-128.55986	-161.92033	-131.00087	-110.65912	0
59	-33.36047	-148.08794	-113.10013	89.5037	39.86983	-127.74619	-43.93818	-131.81454	-130.1872	-162.734	-129.37353	-114.72747	0
60	-33.36047	-150.52895	-117.98215	88.69003	43.93818	-131.00087	-42.31084	-128.55986	-131.00087	-161.92033	-126.93252	-115.54114	0
61	-30.91946	-148.90161	-119.60949	87.06269	46.37919	-131.00087	-43.12451	-127.74619	-131.81454	-162.734	-127.74619	-112.28646	0
62	-28.47845	-145.64693	-118.79582	84.62168	47.19286	-130.1872	-45.56552	-128.55986	-132.62821	-162.734	-128.55986	-109.84545	0
63	-26.85111	-139.95124	-113.10013	81.367	43.93818	-125.30518	-47.19286	-129.37353	-131.00087	-160.29299	-129.37353	-104.14976	0
64	-28.47845	-135.88289	-104.14976	79.73966	37.42882	-119.60949	-47.19286	-129.37353	-128.55986	-156.22464	-129.37353	-98.45407	0
65	-33.36047	-138.3239	-100.08141	82.18067	32.5468	-118.79582	-48.00653	-130.1872	-126.93252	-154.5973	-131.00087	-95.19939	0
66	-37.42882	-144.83326	-103.33609	87.06269	31.73313	-123.67784	-48.00653	-131.00087	-126.93252	-155.41097	-133.44188	-98.45407	0
67	-37.42882	-152.96996	-111.47279	91.94471	35.80148	-131.00087	-47.19286	-129.37353	-126.93252	-157.85198	-135.88289	-104.14976	0
68	-34.98781	-164.36134	-126.11885	97.6404	43.93818	-143.20592	-43.12451	-122.86417	-124.49151	-158.66565	-135.88289	-113.10013	0
69	-26.03744	-180.63474	-150.52895	103.33609	60.21158	-162.734	-34.17414	-104.14976	-112.28646	-160.29299	-131.81454	-123.67784	0
70	-11.39138	-201.79016	-186.33043	105.7771	86.24902	-190.39878	-19.52808	-69.16195	-86.24902	-160.29299	-126.93252	-129.37353	0
71	8.1367	-225.38659	-229.45494	107.40444	117.98215	-223.75925	1.62734	-17.08707	-44.75185	-150.52895	-126.93252	-131.00087	0
72	30.10579	-244.91467	-273.39312	106.59077	152.15629	-257.11972	37.42882	48.00653	8.95037	-126.11885	-130.1872	-133.44188	0
73	52.88855	-256.30605	-336.85938	100.89508	195.2808	-281.52982	84.62168	126.93252	74.04397	-91.13104	-126.11885	-131.81454	0
74	69.16195	-263.62908	-419.04005	95.19939	246.54201	-296.17588	135.06922	213.99521	148.08794	-50.44754	-109.84545	-124.49151	0
75	80.55333	-273.39312	-469.48759	91.94471	278.27514	-311.63561	182.26208	308.38093	228.64127	-5.69569	-93.57205	-117.16848	0
76	96.82673	-285.59817	-478.43796	89.5037	290.48019	-331.16369	228.64127	409.27601	314.07662	40.6835	-80.55333	-110.65912	0
77	122.0505	-295.36221	-479.25163	82.99434	301.87157	-353.13278	280.71615	521.56247	406.835	94.38572	-61.83892	-103.33609	0
78	153.78363	-270.13844	-450.77318	57.77057	300.24423	-342.55507	340.92773	646.86765	508.54375	159.47932	-28.47845	-84.62168	0
79	188.77144	-196.90814	-382.4249	8.1367	279.08881	-281.52982	411.71702	782.75054	623.27122	247.35568	30.91946	-43.93818	0
80	221.31824	-129.37353	-331.97736	-38.24249	268.5111	-228.64127	484.13365	909.68306	751.83108	366.96517	121.23683	18.71441	0
81	247.35568	-91.13104	-314.89029	-70.78929	273.39312	-203.4175	546.78624	1006.50979	886.9003	516.68045	242.47366	104.96343	0
82	269.32477	-56.14323	-302.68524	-99.26774	278.27514	-180.63474	587.46974	1078.11275	1017.90117	696.50152	396.25729	216.43622	0
83	288.85285	-5.69569	-276.6478	-135.88289	276.6478	-142.39225	601.30213	1120.42359	1135.06965	900.73269	579.33304	348.25076	0
84	302.68524	73.2303	-213.99521	-171.68437	253.86504	-71.60296	589.91075	1109.03221	1223.75968	1117.98258	780.30953	491.45668	0
85	299.43056	192.83979	-96.01306	-205.04484	194.46713	32.5468	558.99129	1028.47888	1263.62951	1322.21375	982.91336	639.54462	0
86	265.25642	355.57379	96.01306	-257.11972	82.18067	178.19373	518.30779	877.13626	1240.84675	1475.99738	1158.66608	775.42751	0
87	191.21245	544.34523	355.57379	-323.84066	-82.18067	387.30692	471.9286	668.83674	1151.34305	1553.29603	1280.71658	871.44057	0
88	87.87636	716.0296	646.86765	-373.47453	-271.76578	621.64388	421.48106	428.80409	1003.25511	1565.50108	1330.35045	910.49673	0
89	-25.22377	852.72616	913.75141	-388.12059	-443.45015	813.67	378.35655	176.56639	803.90596	1508.54418	1296.98998	886.9003	0
90	-135.88289	942.22986	1088.69046	-370.21985	-576.07836	932.46582	335.23204	-74.85764	559.80496	1355.57422	1170.87113	793.32825	0
91	-241.65999	943.04353	1161.10709	-321.39965	-672.09142	975.59033	279.90248	-320.58598	275.83413	1091.94514	950.36656	633.84893	0
92	-347.43709	851.91249	1167.61645	-237.59164	-737.99869	956.87592	207.48585	-563.05964	-48.00653	716.0296	647.68132	421.48106	0
93	-450.77318	692.43317	1110.65955	-129.37353	-767.29081	873.06791	115.54114	-806.34697	-411.71702	248.98302	284.7845	173.31171	0
94	-540.27688	505.28907	1009.76447	-24.4101	-760.78145	746.13539	2.44101	-1043.12494	-785.19155	-252.2377	-91.94471	-78.11232	0
95	-602.92947	360.45581	930.02481	61.83892	-752.64475	644.42664	-124.49151	-1240.84675	-1117.16891	-687.55115	-412.53069	-295.36221	0
96	-628.15324	273.39312	877.94993	125.30518	-743.69438	580.96038	-260.3744	-1369.40661	-1358.8289	-981.28602	-628.15324	-451.58685	0
97	-612.69351	212.36787	812.85633	165.98868	-707.8929	519.12146	-391.37527	-1441.82324	-1489.82977	-1144.83369	-752.64475	-538.64954	0
98	-569.569	160.29299	727.42098	187.1441	-646.86765	449.14584	-506.10274	-1475.18371	-1524.81758	-1210.74096	-807.97431	-563.87331	0
99	-521.56247	111.47279	635.47627	198.53548	-579.33304	378.35655	-594.79277	-1477.62472	-1499.59381	-1204.2316	-806.34697	-551.66826	0
100	-481.69264	68.34828	555.73661	206.67218	-520.7488	316.51763	-657.44536	-1458.09664	-1445.07792	-1157.85241	-772.9865	-528.07183	1000	P+0
101	-452.40052	33.36047	491.45668	211.5542	-473.55594	265.25642	-696.50152	-1419.85415	-1376.72964	-1095.19982	-727.42098	-497.15237	0
102	-423.1084	10.57771	438.56813	207.48585	-432.05877	226.20026	-711.14758	-1362.08358	-1297.80365	-1025.2242	-676.15977	-456.46887	0
103	-382.4249	11.39138	397.07096	186.33043	-379.17022	205.04484	-698.12886	-1277.4619	-1204.2316	-947.11188	-622.45755	-411.71702	0
104	-333.6047	33.36047	371.84719	161.10666	-318.14497	202.60383	-655.00435	-1163.5481	-1092.75881	-862.4902	-567.12799	-375.10187	0
105	-286.41184	66.72094	358.82847	144.83326	-276.6478	213.18154	-590.72442	-1030.10622	-969.08097	-772.17283	-510.98476	-341.7414	0
106	-243.28733	102.52242	350.69177	117.98215	-258.74706	227.8276	-518.30779	-891.78232	-842.96212	-681.85546	-452.40052	-304.31258	0
107	-207.48585	130.1872	341.7414	78.11232	-249.79669	237.59164	-447.5185	-760.78145	-724.97997	-595.60644	-395.44362	-265.25642	0
108	-180.63474	144.01959	327.09534	43.93818	-242.47366	237.59164	-384.86591	-646.05398	-620.83021	-515.86678	-339.30039	-224.57292	0
109	-159.47932	144.83326	307.56726	20.34175	-231.08228	228.64127	-338.48672	-549.22725	-532.95385	-446.70483	-293.73487	-183.88942	0
110	-143.20592	140.76491	288.03918	4.88202	-217.24989	217.24989	-310.00827	-475.18328	-462.16456	-388.93426	-267.69743	-152.15629	0
111	-128.55986	137.51023	270.13844	-4.88202	-202.60383	206.67218	-284.7845	-423.92207	-406.02133	-345.80975	-247.35568	-131.00087	0
112	-110.65912	135.06922	248.16935	-15.45973	-182.26208	193.65346	-257.11972	-379.98389	-362.08315	-313.26295	-222.94558	-117.16848	0
113	-87.06269	132.62821	195.2808	-26.85111	-144.01959	152.15629	-225.38659	-336.04571	-325.468	-286.41184	-195.2808	-104.96343	0
114	-62.65259	125.30518	111.47279	-34.98781	-90.31737	77.29865	-189.58511	-296.17588	-292.10753	-262.81541	-163.54767	-92.75838	0
115	-43.93818	107.40444	51.26121	-36.61515	-51.26121	25.22377	-160.29299	-260.3744	-258.74706	-240.84632	-139.95124	-84.62168	0
116	-35.80148	80.55333	32.5468	-27.66478	-36.61515	12.20505	-142.39225	-227.8276	-228.64127	-221.31824	-129.37353	-81.367	0
117	-34.98781	49.63387	30.91946	-10.57771	-34.98781	12.20505	-130.1872	-197.72181	-202.60383	-205.04484	-126.11885	-80.55333	0
118	-39.86983	18.71441	32.5468	8.1367	-38.24249	12.20505	-121.23683	-172.49804	-182.26208	-192.02612	-123.67784	-77.29865	0
119	-40.6835	-2.44101	31.73313	21.15542	-38.24249	11.39138	-112.28646	-155.41097	-164.36134	-183.88942	-117.98215	-66.72094	0
120	-37.42882	-9.76404	31.73313	22.78276	-35.80148	14.64606	-101.70875	-144.83326	-145.64693	-180.63474	-108.21811	-53.70222	0
121	-31.73313	-4.06835	35.80148	17.90074	-34.98781	21.15542	-91.13104	-129.37353	-126.11885	-170.05703	-97.6404	-44.75185	0
122	-26.03744	3.25468	36.61515	10.57771	-32.5468	24.4101	-82.99434	-109.03178	-108.21811	-151.34262	-87.06269	-39.05616	0
123	-21.15542	8.1367	34.98781	4.88202	-28.47845	24.4101	-76.48498	-84.62168	-91.94471	-125.30518	-73.2303	-33.36047	0
124	-14.64606	11.39138	31.73313	-0.81367	-23.59643	23.59643	-71.60296	-56.9569	-78.11232	-96.01306	-53.70222	-25.22377	0
125	-2.44101	14.64606	22.78276	-9.76404	-13.83239	19.52808	-65.0936	-36.61515	-65.90727	-75.67131	-41.49717	-18.71441	0
126	4.88202	11.39138	9.76404	-13.01872	-2.44101	12.20505	-57.77057	-26.03744	-55.32956	-69.97562	-39.86983	-17.90074	0
127	5.69569	0.81367	-1.62734	-6.50936	3.25468	0.81367	-52.88855	-21.15542	-47.19286	-70.78929	-43.93818	-18.71441	0
128	3.25468	-12.20505	-14.64606	2.44101	8.1367	-11.39138	-48.00653	-17.08707	-39.86983	-71.60296	-45.56552	-17.90074	0
129	4.06835	-22.78276	-24.4101	8.1367	13.01872	-21.15542	-42.31084	-11.39138	-33.36047	-70.78929	-43.93818	-11.39138	0
130	5.69569	-25.22377	-29.29212	8.95037	16.2734	-24.4101	-38.24249	-4.06835	-25.22377	-67.53461	-39.86983	-6.50936	0
131	8.1367	-21.96909	-28.47845	5.69569	17.08707	-22.78276	-35.80148	1.62734	-17.08707	-62.65259	-36.61515	-5.69569	0
132	11.39138	-16.2734	-26.85111	1.62734	18.71441	-19.52808	-33.36047	7.32303	-8.95037	-56.14323	-33.36047	-5.69569	0
133	14.64606	-9.76404	-23.59643	-3.25468	18.71441	-16.2734	-31.73313	12.20505	0	-48.00653	-29.29212	-4.06835	0
134	18.71441	-6.50936	-20.34175	-7.32303	17.90074	-13.01872	-30.91946	17.08707	7.32303	-40.6835	-28.47845	0	0
135	19.52808	-8.95037	-18.71441	-6.50936	15.45973	-13.83239	-29.29212	23.59643	15.45973	-34.98781	-26.85111	2.44101	0
136	13.83239	-16.2734	-19.52808	0	12.20505	-16.2734	-25.22377	30.91946	24.4101	-30.91946	-25.22377	2.44101	0
137	8.1367	-21.15542	-21.15542	5.69569	10.57771	-19.52808	-19.52808	39.86983	30.91946	-26.85111	-22.78276	1.62734	0
138	9.76404	-20.34175	-24.4101	4.88202	13.83239	-20.34175	-13.83239	49.63387	36.61515	-22.78276	-18.71441	-0.81367	0
139	16.2734	-17.08707	-30.10579	0	20.34175	-21.15542	-8.1367	58.58424	41.49717	-18.71441	-12.20505	-6.50936	0
140	22.78276	-13.83239	-33.36047	-4.06835	26.03744	-21.15542	-6.50936	65.0936	44.75185	-15.45973	-7.32303	-8.1367	0
141	26.03744	-9.76404	-33.36047	-8.1367	28.47845	-18.71441	-7.32303	69.16195	48.8202	-13.01872	-5.69569	-4.06835	0
142	27.66478	-4.88202	-29.29212	-10.57771	26.85111	-15.45973	-8.1367	73.2303	54.51589	-8.1367	-1.62734	2.44101	0
143	30.91946	0.81367	-21.15542	-13.01872	21.96909	-8.95037	-7.32303	77.29865	64.27993	0	2.44101	11.39138	0
144	34.98781	8.95037	-12.20505	-19.52808	17.90074	-0.81367	-4.06835	83.80801	75.67131	9.76404	8.1367	23.59643	0
145	38.24249	15.45973	-9.76404	-26.85111	19.52808	3.25468	0	91.94471	87.87636	18.71441	13.01872	31.73313	0
146	40.6835	13.83239	-17.08707	-29.29212	25.22377	0	4.88202	98.45407	96.82673	23.59643	16.2734	32.5468	0
147	42.31084	8.95037	-27.66478	-27.66478	32.5468	-7.32303	8.1367	104.96343	104.96343	25.22377	16.2734	29.29212	0
148	44.75185	7.32303	-37.42882	-29.29212	40.6835	-13.01872	13.01872	113.10013	110.65912	27.66478	19.52808	28.47845	0
149	45.56552	8.95037	-43.12451	-32.5468	47.19286	-14.64606	19.52808	123.67784	113.9138	31.73313	25.22377	32.5468	0
150	44.75185	12.20505	-43.12451	-35.80148	48.8202	-12.20505	24.4101	133.44188	117.16848	36.61515	30.10579	36.61515	0
151	43.93818	14.64606	-37.42882	-35.80148	45.56552	-8.95037	25.22377	139.95124	120.42316	41.49717	32.5468	38.24249	0
152	38.24249	14.64606	-29.29212	-30.91946	36.61515	-5.69569	24.4101	144.83326	125.30518	47.19286	34.17414	39.86983	0
153	27.66478	10.57771	-19.52808	-21.96909	25.22377	-3.25468	28.47845	153.78363	131.81454	57.77057	42.31084	44.75185	0
154	18.71441	7.32303	-9.76404	-16.2734	14.64606	0	40.6835	169.24336	140.76491	76.48498	56.9569	53.70222	0
155	17.90074	8.95037	-4.88202	-17.90074	10.57771	2.44101	51.26121	183.07575	152.15629	90.31737	68.34828	61.02525	0
156	22.78276	15.45973	-7.32303	-25.22377	15.45973	4.88202	52.88855	190.39878	162.734	94.38572	69.16195	62.65259	0
157	24.4101	17.08707	-13.01872	-29.29212	21.96909	3.25468	50.44754	194.46713	170.8707	93.57205	65.90727	61.02525	0
158	24.4101	10.57771	-18.71441	-22.78276	23.59643	-1.62734	46.37919	196.90814	175.75272	90.31737	61.83892	58.58424	0
159	24.4101	0.81367	-19.52808	-13.01872	19.52808	-6.50936	44.75185	196.90814	182.26208	85.43535	62.65259	61.02525	0
160	25.22377	0	-15.45973	-9.76404	14.64606	-4.88202	46.37919	195.2808	191.21245	78.92599	65.90727	65.0936	0
161	29.29212	12.20505	-8.1367	-17.90074	13.83239	4.06835	50.44754	200.97649	203.4175	82.99434	71.60296	69.97562	0
162	39.05616	33.36047	-0.81367	-35.80148	17.90074	17.08707	55.32956	217.24989	218.06356	99.26774	78.92599	76.48498	0
163	51.26121	56.14323	4.88202	-55.32956	22.78276	31.73313	59.39791	234.33696	232.70962	118.79582	92.75838	86.24902	0
164	62.65259	74.04397	11.39138	-71.60296	26.03744	43.12451	61.83892	248.98302	244.91467	135.88289	112.28646	97.6404	0
165	74.85764	83.80801	10.57771	-84.62168	31.73313	48.00653	65.0936	260.3744	255.49238	147.27427	124.49151	104.14976	0
166	87.87636	88.69003	2.44101	-93.57205	42.31084	47.19286	69.16195	270.95211	262.81541	154.5973	125.30518	106.59077	0
167	96.01306	89.5037	-4.88202	-96.82673	50.44754	43.93818	74.04397	281.52982	270.13844	161.92033	123.67784	109.03178	0
168	95.19939	86.24902	-7.32303	-92.75838	49.63387	40.6835	80.55333	293.73487	279.08881	169.24336	126.11885	117.16848	0
169	87.06269	78.92599	-6.50936	-83.80801	44.75185	37.42882	85.43535	306.75359	288.03918	178.19373	132.62821	128.55986	0
170	79.73966	74.04397	-3.25468	-77.29865	39.86983	36.61515	88.69003	317.3313	296.98955	186.33043	139.13757	136.69656	0
171	77.29865	76.48498	0.81367	-77.29865	35.80148	40.6835	91.13104	327.09534	305.93992	194.46713	144.83326	139.95124	0
172	81.367	87.87636	6.50936	-85.43535	35.80148	48.00653	92.75838	336.85938	315.70396	204.23117	152.15629	143.20592	0
173	84.62168	99.26774	14.64606	-93.57205	34.98781	56.9569	93.57205	344.18241	327.09534	213.99521	165.17501	148.90161	0
174	82.99434	104.96343	24.4101	-96.82673	29.29212	64.27993	93.57205	349.8781	336.85938	222.94558	183.07575	157.03831	0
175	78.92599	104.96343	29.29212	-96.82673	24.4101	67.53461	94.38572	354.76012	344.99608	230.26861	194.46713	161.92033	0
176	78.92599	104.96343	28.47845	-96.82673	24.4101	67.53461	96.82673	361.26948	352.31911	236.77797	196.09447	163.54767	0
177	84.62168	104.96343	22.78276	-99.26774	30.10579	65.0936	100.89508	369.40618	358.82847	244.101	195.2808	164.36134	0
178	91.94471	105.7771	13.83239	-101.70875	38.24249	61.02525	104.14976	377.54288	363.71049	251.42403	196.90814	169.24336	0
179	98.45407	106.59077	4.88202	-105.7771	46.37919	57.77057	107.40444	384.86591	367.77884	259.56073	201.79016	178.19373	0
180	104.96343	110.65912	0.81367	-111.47279	52.88855	57.77057	109.03178	391.37527	371.84719	266.88376	208.29952	186.33043	0
181	109.84545	116.35481	3.25468	-116.35481	54.51589	61.83892	109.84545	397.07096	375.91554	273.39312	214.80888	189.58511	0
182	110.65912	122.0505	8.1367	-118.79582	52.07488	66.72094	108.21811	399.51197	379.98389	279.90248	219.6909	191.21245	0
183	109.03178	127.74619	17.08707	-121.23683	46.37919	73.2303	105.7771	399.51197	382.4249	286.41184	224.57292	195.2808	0
184	107.40444	134.25555	27.66478	-124.49151	39.05616	81.367	102.52242	398.6983	385.67958	292.9212	228.64127	202.60383	0
185	106.59077	137.51023	34.17414	-126.93252	34.98781	86.24902	100.89508	397.88463	388.93426	296.98955	232.70962	207.48585	0
186	105.7771	135.06922	31.73313	-124.49151	35.80148	83.80801	100.08141	397.07096	390.5616	298.61689	235.15063	207.48585	0
187	104.96343	127.74619	24.4101	-119.60949	39.05616	77.29865	98.45407	396.25729	388.93426	297.80322	236.77797	205.85851	0
188	110.65912	124.49151	15.45973	-118.79582	45.56552	70.78929	99.26774	397.07096	387.30692	297.80322	240.84632	208.29952	0
189	122.86417	126.93252	5.69569	-125.30518	56.14323	67.53461	100.89508	400.32564	386.49325	300.24423	248.16935	215.62255	0
190	133.44188	131.00087	0	-132.62821	65.0936	66.72094	100.89508	402.76665	386.49325	302.68524	253.86504	222.13191	0
191	135.88289	131.81454	-1.62734	-134.25555	67.53461	66.72094	98.45407	402.76665	385.67958	303.49891	257.11972	222.94558	0
192	132.62821	130.1872	-1.62734	-131.81454	65.90727	65.0936	95.19939	399.51197	384.86591	304.31258	259.56073	222.13191	0
193	126.11885	130.1872	3.25468	-129.37353	61.02525	67.53461	91.94471	396.25729	385.67958	307.56726	262.00174	224.57292	0
194	122.86417	135.06922	13.83239	-131.81454	53.70222	74.04397	89.5037	393.00261	386.49325	310.82194	262.81541	231.08228	0
195	123.67784	142.39225	19.52808	-137.51023	51.26121	80.55333	88.69003	389.74793	387.30692	313.26295	264.44275	235.9643	0
196	131.00087	145.64693	16.2734	-143.20592	56.14323	81.367	88.69003	386.49325	385.67958	314.07662	266.88376	236.77797	0
197	139.13757	145.64693	7.32303	-146.4606	65.0936	77.29865	89.5037	384.05224	383.23857	313.26295	268.5111	234.33696	0
